tahun,provinsi,nama_kabupaten,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah 
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,65-69,Laki-Laki,290
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,70-75,Laki-Laki,199
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,>75,Laki-Laki,138
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,0-4,Laki-Laki,1147
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,05-09,Laki-Laki,1665
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,10-14,Laki-Laki,1691
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,15-19,Laki-Laki,1622
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,20-24,Laki-Laki,1380
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,25-29,Laki-Laki,1228
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,30-34,Laki-Laki,1370
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,35-39,Laki-Laki,1630
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,40-44,Laki-Laki,1621
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,45-49,Laki-Laki,1732
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,50-54,Laki-Laki,1335
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,55-59,Laki-Laki,865
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,60-64,Laki-Laki,518
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,65-69,Laki-Laki,374
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,70-75,Laki-Laki,311
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,SERDANG,>75,Laki-Laki,276
